id	lipid	formula	adduct	template_file
Lipid00393	PC(16:0_20:4)	C44H80NO8P	NA	NA
Lipid00394	PC(18:0_18:4)	C44H80NO8P	NA	NA
Lipid00395	PC(18:1_18:3)	C44H80NO8P	NA	NA
Lipid00396	PC(18:2_18:2)	C44H80NO8P	NA	NA
Lipid00397	PC(16:1_20:2)	C44H82NO8P	NA	NA
Lipid00398	PC(16:0_20:3)	C44H82NO8P	NA	NA
Lipid00399	PC(18:0_18:3)	C44H82NO8P	NA	NA
Lipid00400	PC(18:1_18:2)	C44H82NO8P	NA	NA
Lipid00401	PC(16:1_20:1)	C44H84NO8P	NA	NA
Lipid00402	PC(16:0_20:2)	C44H84NO8P	NA	NA
Lipid00403	PC(17:1_19:1)	C44H84NO8P	NA	NA
Lipid00404	PC(18:0_18:2)	C44H84NO8P	NA	NA
Lipid00405	PC(18:1_18:1)	C44H84NO8P	NA	NA
Lipid00406	PC(16:1_20:0)	C44H86NO8P	NA	NA
Lipid00407	PC(16:0_20:1)	C44H86NO8P	NA	NA
Lipid00408	PC(17:0_19:1)	C44H86NO8P	NA	NA
Lipid00409	PC(17:1_19:0)	C44H86NO8P	NA	NA
Lipid00410	PC(18:0_18:1)	C44H86NO8P	NA	NA
Lipid00411	PC(14:0_22:0)	C44H88NO8P	NA	NA
Lipid00412	PC(16:0_20:0)	C44H88NO8P	NA	NA
Lipid00413	PC(17:0_19:0)	C44H88NO8P	NA	NA
Lipid00414	PC(18:0_18:0)	C44H88NO8P	NA	NA
Lipid00415	PC(15:0_20:5)	C43H76NO8P	NA	NA
